Unnamed: 0,Name,Average Vol. (3m),Market Cap,Revenue,P/E Ratio,Beta
,Sysco,2.63M,36.39B,76.82B,20.18,
,T Rowe,1.35M,21.96B,6.34B,13.91,1.32
,Take-Two,1.45M,26.58B,5.44B,-17.37,0.683
,Taoping,424.08K,3M,31.01M,-0.34,0.583
,Tapestry,3.54M,7.01B,6.67B,7.56,1.5
,Target,4.95M,60.69B,106.89B,16.62,1.04
,TechnipFMC,5.91M,9.28B,7.44B,-276.95,1.74
,Teck Resources B,3.44M,18.96B,14.04B,11.71,1.26
,Tenet Healthcare,1.56M,6.91B,20.16B,14.87,
,Teradata,776.29K,4.62B,1.83B,76.57,0.993
,Teradyne,1.51M,14.14B,2.74B,30.20,1.56
,Terex,906.76K,3.36B,5.15B,7.11,1.68
,Tesla,120.13M,748.48B,95.92B,69.51,2.28
,Teva ADR,8.26M,10.75B,15.27B,-4.84,1.17
,Texas Instruments,4.98M,139.49B,18.11B,19.73,1.0
,Textron,1.36M,15.36B,13.43B,16.72,
,The AES,8.42M,11.34B,12.76B,-20.20,
,The Andersons,176.57K,1.71B,16.21B,29.39,0.76
,The Cheesecake,861.79K,1.65B,3.46B,18.38,1.47
,The Chefs Warehouse,466.36K,1.07B,3.27B,50.91,1.99
,The Dixie,35.78K,9.49M,280.21M,-0.39,2.48
,The Ensign,269.65K,6.14B,3.56B,24.44,1.01
,The First Bancshares,78.79K,815.5M,278.11M,9.58,0.904
,The Hackett,92.72K,617.47M,288.92M,17.69,0.886
,The Hain Celestial,1.14M,989.49M,1.78B,-7.37,0.912
,Thermo Fisher Scientific,1.74M,189.62B,43.42B,31.97,0.813
,Titan,346.97K,829.94M,1.94B,6.82,2.25
,TJX,5.08M,102.93B,52.33B,25.41,0.914
,Toyota Motor ADR,311.42K,253.23B,41.43T,9.83,0.518
,Transocean,14.39M,5.31B,2.70B,-4.11,2.97
,Travel + Leisure Co,696.42K,2.71B,3.71B,7.97,
,Travelers,1.23M,40.55B,40.07B,18.88,
,Trip.com ADR,4.04M,22.85B,39.21B,15.76,0.61
,Truist Financial Corp,9.57M,42.38B,21.90B,7.91,
,Tupperware Brands,4.43M,77.73M,1.30B,-0.33,2.9
,Tyson Foods,2.53M,17.16B,52.88B,-25.83,0.818
,U.S. Bancorp,11.73M,57.92B,24.60B,11.04,1.04
,UBS Group,3.11M,85.37B,36.91B,2.68,0.996
,Under Armour A,6.42M,3.29B,5.86B,7.99,1.7
,Union Pacific,2.35M,136.72B,24.14B,21.55,1.12
,Unisys,690.49K,360.44M,2.01B,-1.37,
,United Airlines Holdings,7.31M,13.03B,52.49B,4.54,
,United Parcel Service,3.58M,129.52B,93.07B,15.30,1.1
,United States Steel,4.92M,7.77B,18.25B,6.89,2.09
,UnitedHealth,2.69M,506.03B,359.98B,23.75,0.637
,Unum,1.32M,8.42B,12.25B,7.44,1.05
,Urban Outfitters,1.68M,3.02B,5.05B,11.08,1.51
,US Global,41.74K,43.21M,15.07M,14.02,1.99
,US Gold,34.91K,31.42M,,-3.40,1.25
,UTStarcom,4.03K,32.94M,13.07M,-5.98,
,Vale ADR,21.38M,64.72B,42.19B,33.41,0.81
,Valero Energy,3.55M,42.54B,145.46B,4.25,1.55
,Ventas,2.08M,18.3B,4.36B,3.77K,1.29
,Veradigm,882.71K,1.36B,1.53B,25.05,0.931
,Vericel Corp Ord,318.32K,1.7B,185.21M,-165.23,
,VeriSign,503.47K,21.77B,1.48B,30.47,0.936
,Verizon,22.14M,157.28B,134.10B,7.52,
,Vertex,1.15M,90.97B,9.65B,26.08,
,Veru,898.09K,91.18M,15.02M,-0.649,-0.12
,VF,8.76M,6.45B,11.39B,-29.86,1.52
,Viatris,8.80M,11.31B,15.47B,6.19,1.16
,Viavi Solutions,1.96M,1.79B,1.04B,668.33,
,Viewtran,0.55K,26,,,-5.34
,Visa A,5.81M,510.7B,32.65B,30.63,0.946
,VMware,1.99M,61.54B,13.61B,42.67,0.831
,Vornado,2.73M,4.5B,1.33B,-10.68,1.47
,Vulcan Materials,826.63K,28.13B,7.68B,34.19,0.784
,Wacoal,0.43K,1.26B,186.22B,-18.54,0.309
,Walgreens Boots,12.55M,18.01B,139.08B,-5.85,0.796
,Walmart,6.09M,420.05B,638.79B,25.75,0.532
,Walt Disney,13.71M,175.82B,88.90B,74.36,1.3
,Warner Bros Discovery,21.25M,26.46B,42.05B,-5.47,1.61
,Waste Management,1.49M,69.28B,20.14B,30.20,0.737
,Waters,520.83K,16.58B,3.00B,25.30,0.898
,Weatherford,1.01M,6.75B,4.98B,19.25,2.04
,WEC Energy,1.76M,25.74B,9.23B,18.86,0.437
,Wells Fargo&Co,15.38M,155.87B,76.49B,9.29,1.17
,Welltower,2.90M,49.6B,6.32B,176.92,1.07
,Western Digital,4.68M,15.11B,11.33B,-6.08,1.58
,Western Union,4.64M,4.39B,4.40B,6.08,0.848
,Weyerhaeuser,3.44M,23.32B,7.72B,36.98,1.5
,Wheaton Precious Metals,1.58M,21.25B,938.62M,40.14,0.421
,Whirlpool,762.54K,5.99B,19.29B,-3.68,1.58
,Williams,5.94M,44.18B,10.30B,16.39,
,Williams Industrial,261.48K,8.01K,299.31M,,1.26
,Wipro ADR,1.50M,24.78B,917.66B,18.47,0.698
,Wolfspeed,3.32M,4.3B,929.90M,-6.04,1.68
,WPF Holdings,0.76K,4.31B,,,1.74
,WW Grainger,256.37K,40.32B,16.28B,22.44,1.13
,Wynn Resorts,2.13M,9.9B,5.70B,296.85,2.02
,Xcel Energy,4.30M,33.4B,14.82B,19.13,0.443
,Xerox,1.35M,1.7B,7.06B,13.04,
,Yandex,28.27M,6.85B,715.32B,19.97,1.01
,Yellow,189.10K,102.69M,4.85B,-1.29,
,Yum! Brands,1.51M,36.02B,7.06B,23.97,1.04
,Zimmer Biomet,1.78M,23.7B,7.28B,49.93,1.02
,Zions,2.77M,5.09B,3.08B,6.33,1.15
,ZW Data Action Technologies,14.11K,6.2M,29.74M,-0.75,0.844
